Temperature (C),Pressure (bar),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
-14.722,23.097,1.3922,0.71829,17.539,19.198,84.601,34.596,61.339,218.75,1.6536,13.299,0.016481,vapor
-14.577,23.196,1.3986,0.71499,17.539,19.197,84.57,34.628,61.479,218.7,1.6512,13.31,0.01651,vapor
-14.433,23.295,1.4051,0.7117,17.538,19.196,84.538,34.661,61.62,218.65,1.6488,13.321,0.016539,vapor
-14.289,23.394,1.4116,0.70844,17.537,19.195,84.506,34.694,61.761,218.6,1.6465,13.331,0.016568,vapor
-14.145,23.493,1.4181,0.70519,17.537,19.193,84.474,34.727,61.904,218.55,1.6441,13.342,0.016598,vapor
-14,23.593,1.4246,0.70195,17.536,19.192,84.442,34.76,62.048,218.5,1.6417,13.352,0.016627,vapor
-13.856,23.693,1.4312,0.69873,17.535,19.191,84.411,34.793,62.192,218.44,1.6393,13.363,0.016657,vapor
-13.712,23.794,1.4378,0.69553,17.535,19.19,84.379,34.826,62.337,218.39,1.6369,13.374,0.016687,vapor
-13.568,23.895,1.4444,0.69234,17.534,19.188,84.347,34.859,62.484,218.34,1.6345,13.384,0.016717,vapor
-13.423,23.996,1.451,0.68917,17.533,19.187,84.315,34.892,62.631,218.29,1.6322,13.395,0.016747,vapor
-13.279,24.097,1.4577,0.68601,17.533,19.186,84.283,34.926,62.779,218.23,1.6298,13.406,0.016777,vapor
-13.135,24.199,1.4644,0.68287,17.532,19.185,84.251,34.959,62.928,218.18,1.6274,13.417,0.016808,vapor
-12.99,24.301,1.4711,0.67974,17.531,19.183,84.219,34.992,63.078,218.13,1.6251,13.427,0.016838,vapor
-12.846,24.403,1.4779,0.67663,17.531,19.182,84.187,35.026,63.229,218.07,1.6227,13.438,0.016869,vapor
-12.702,24.506,1.4847,0.67354,17.53,19.18,84.155,35.06,63.38,218.02,1.6203,13.449,0.0169,vapor
-12.558,24.609,1.4915,0.67046,17.529,19.179,84.123,35.093,63.533,217.96,1.618,13.46,0.016931,vapor
-12.413,24.712,1.4984,0.66739,17.528,19.178,84.091,35.127,63.687,217.91,1.6156,13.471,0.016962,vapor
-12.269,24.815,1.5052,0.66434,17.527,19.176,84.059,35.161,63.842,217.85,1.6133,13.482,0.016993,vapor
-12.125,24.919,1.5122,0.66131,17.527,19.175,84.027,35.195,63.997,217.8,1.611,13.493,0.017025,vapor
-11.981,25.024,1.5191,0.65829,17.526,19.173,83.995,35.229,64.154,217.74,1.6086,13.504,0.017056,vapor
-11.836,25.128,1.5261,0.65528,17.525,19.172,83.963,35.263,64.312,217.68,1.6063,13.515,0.017088,vapor
-11.692,25.233,1.5331,0.65229,17.524,19.17,83.931,35.298,64.471,217.63,1.6039,13.526,0.01712,vapor
-11.548,25.338,1.5401,0.64931,17.523,19.168,83.898,35.332,64.631,217.57,1.6016,13.537,0.017152,vapor
-11.404,25.444,1.5472,0.64635,17.522,19.167,83.866,35.366,64.791,217.51,1.5993,13.549,0.017184,vapor
-11.259,25.549,1.5542,0.6434,17.521,19.165,83.834,35.401,64.953,217.46,1.597,13.56,0.017217,vapor
-11.115,25.656,1.5614,0.64046,17.52,19.164,83.802,35.435,65.116,217.4,1.5946,13.571,0.017249,vapor
-10.971,25.762,1.5685,0.63754,17.519,19.162,83.77,35.47,65.28,217.34,1.5923,13.582,0.017282,vapor
-10.827,25.869,1.5757,0.63464,17.519,19.16,83.737,35.505,65.445,217.28,1.59,13.594,0.017315,vapor
-10.682,25.976,1.5829,0.63174,17.518,19.159,83.705,35.539,65.612,217.23,1.5877,13.605,0.017348,vapor
-10.538,26.083,1.5902,0.62886,17.517,19.157,83.673,35.574,65.779,217.17,1.5854,13.616,0.017381,vapor
-10.394,26.191,1.5974,0.626,17.516,19.155,83.64,35.609,65.947,217.11,1.5831,13.628,0.017415,vapor
-10.249,26.299,1.6048,0.62315,17.515,19.153,83.608,35.644,66.117,217.05,1.5808,13.639,0.017448,vapor
-10.105,26.408,1.6121,0.62031,17.513,19.152,83.575,35.679,66.288,216.99,1.5785,13.651,0.017482,vapor
-9.9609,26.516,1.6195,0.61748,17.512,19.15,83.543,35.714,66.46,216.93,1.5762,13.662,0.017516,vapor
-9.8167,26.625,1.6269,0.61467,17.511,19.148,83.51,35.75,66.633,216.87,1.5739,13.674,0.01755,vapor
-9.6724,26.735,1.6343,0.61187,17.51,19.146,83.478,35.785,66.807,216.81,1.5716,13.685,0.017584,vapor
-9.5282,26.844,1.6418,0.60909,17.509,19.144,83.445,35.821,66.982,216.75,1.5693,13.697,0.017619,vapor
-9.3839,26.954,1.6493,0.60632,17.508,19.142,83.413,35.856,67.159,216.69,1.567,13.708,0.017654,vapor
-9.2396,27.065,1.6568,0.60356,17.507,19.14,83.38,35.892,67.337,216.62,1.5647,13.72,0.017688,vapor
-9.0954,27.176,1.6644,0.60081,17.506,19.138,83.348,35.927,67.516,216.56,1.5624,13.732,0.017723,vapor
-8.9511,27.287,1.672,0.59808,17.504,19.136,83.315,35.963,67.696,216.5,1.5602,13.744,0.017759,vapor
-8.8068,27.398,1.6797,0.59536,17.503,19.134,83.282,35.999,67.878,216.44,1.5579,13.755,0.017794,vapor
-8.6626,27.51,1.6873,0.59265,17.502,19.132,83.25,36.035,68.061,216.38,1.5556,13.767,0.01783,vapor
-8.5183,27.622,1.695,0.58996,17.501,19.13,83.217,36.071,68.245,216.31,1.5533,13.779,0.017865,vapor
-8.374,27.734,1.7028,0.58728,17.5,19.128,83.184,36.107,68.43,216.25,1.5511,13.791,0.017901,vapor
-8.2298,27.847,1.7105,0.58461,17.498,19.126,83.151,36.144,68.617,216.19,1.5488,13.803,0.017937,vapor
-8.0855,27.96,1.7184,0.58195,17.497,19.124,83.119,36.18,68.805,216.12,1.5465,13.815,0.017974,vapor
-7.9413,28.073,1.7262,0.57931,17.496,19.122,83.086,36.216,68.995,216.06,1.5443,13.827,0.01801,vapor
-7.797,28.187,1.7341,0.57667,17.494,19.12,83.053,36.253,69.185,215.99,1.542,13.839,0.018047,vapor
-7.6527,28.301,1.742,0.57405,17.493,19.118,83.02,36.289,69.378,215.93,1.5398,13.851,0.018084,vapor
-7.5085,28.415,1.7499,0.57145,17.492,19.115,82.987,36.326,69.571,215.86,1.5375,13.863,0.018121,vapor
-7.3642,28.53,1.7579,0.56885,17.49,19.113,82.954,36.363,69.766,215.8,1.5353,13.875,0.018159,vapor
-7.2199,28.645,1.766,0.56626,17.489,19.111,82.921,36.4,69.963,215.73,1.533,13.888,0.018196,vapor
-7.0757,28.76,1.774,0.56369,17.488,19.109,82.888,36.437,70.16,215.67,1.5308,13.9,0.018234,vapor
-6.9314,28.876,1.7821,0.56113,17.486,19.106,82.855,36.474,70.36,215.6,1.5285,13.912,0.018272,vapor
-6.7871,28.992,1.7902,0.55858,17.485,19.104,82.821,36.511,70.561,215.53,1.5263,13.925,0.01831,vapor
-6.6429,29.109,1.7984,0.55605,17.483,19.102,82.788,36.548,70.763,215.47,1.524,13.937,0.018349,vapor
-6.4986,29.225,1.8066,0.55352,17.482,19.099,82.755,36.586,70.967,215.4,1.5218,13.949,0.018387,vapor
-6.3544,29.343,1.8149,0.55101,17.48,19.097,82.722,36.623,71.172,215.33,1.5196,13.962,0.018426,vapor
-6.2101,29.46,1.8231,0.5485,17.479,19.095,82.689,36.661,71.379,215.26,1.5173,13.974,0.018465,vapor
-6.0658,29.578,1.8315,0.54601,17.477,19.092,82.655,36.698,71.587,215.2,1.5151,13.987,0.018505,vapor
